variable,prop,lower_95,upper_95
BMI,0.15184513,0.134906231,0.168179068
CRP,0.136042403,0.120141343,0.153106357
Lp(a),0.116555308,0.100222717,0.13437268
prs_lpa,0.232026144,0.208333333,0.256515192
prs_pce,0.305555556,0.279411765,0.330065359
PRS,0.315857605,0.293867576,0.339142133
