"variable","p_value"
"Age",0.00134028983088865
"Townsend Deprivation Index",0.780864532887176
"LE8 Diet Score",0.720133922973894
"LE8 PA Score",0.831359520118976
"LE8 Smoking Score",0.120326575505352
"LE8 Sleep Health Points",0.161326452303114
"LE8 BMI Points",0.763833722438694
"LE8 Blood Lipid Points",0.6735891754305
"LE8 HbA1c Score",0.39478434456841
"LE8 BP Score",0.870591467506856
"LE8 Composite Score",0.576144773827982
"Pooled Cohort Equation Risk",0.794721028775843
"Apolipoprotein B",0.564517369324623
"Lipoprotein A",1.45404233234542e-11
"C Reactive Protein",0.250268526178641
"Age of CAD Onset",8.27956759158194e-27
