"","Overall"
"n","6534"
"Sex = Male (%)","3791 (59.8)"
"Age (mean (SD))","60.65 (6.26)"
"White British Ancestry = 1 (%)","5430 (85.7)"
"C Reactive Protein (mean (SD))","3.27 (5.24)"
"Townsend Deprivation Index (mean (SD))","-1.01 (3.23)"
"Pooled Cohort Equation Risk (mean (SD))","0.13 (0.08)"
"LE8 Diet Score (mean (SD))","51.50 (32.58)"
"LE8 PA Score (mean (SD))","30.40 (28.37)"
"LE8 Smoking Score (mean (SD))","80.78 (31.82)"
"LE8 Sleep Health Points (mean (SD))","86.51 (22.31)"
"LE8 BMI Points (mean (SD))","58.11 (29.90)"
"LE8 Blood Lipid Points (mean (SD))","51.32 (30.42)"
"LE8 HbA1c Score (mean (SD))","79.44 (28.97)"
"LE8 BP Score (mean (SD))","40.72 (26.18)"
"LE8 Composite Score (mean (SD))","59.85 (11.71)"
"Family Heart Disease History = both_parents (%)","6534 (100.0)"
"Familial Hypercholesterolemia Variant Status = 1 (%)","73 (100.0)"
