"","Overall"
"n","109"
"Sex = Male (%)","42 (38.5)"
"Age (mean (SD))","47.07 (4.37)"
"White British Ancestry = 1 (%)","83 (76.1)"
"C Reactive Protein (mean (SD))","3.67 (5.34)"
"Townsend Deprivation Index (mean (SD))","0.53 (3.60)"
"Pooled Cohort Equation Risk (mean (SD))","0.02 (0.01)"
"LE8 Diet Score (mean (SD))","52.90 (33.88)"
"LE8 PA Score (mean (SD))","31.68 (29.64)"
"LE8 Smoking Score (mean (SD))","85.28 (32.75)"
"LE8 Sleep Health Points (mean (SD))","85.98 (23.51)"
"LE8 BMI Points (mean (SD))","61.78 (31.55)"
"LE8 Blood Lipid Points (mean (SD))","53.27 (28.01)"
"LE8 HbA1c Score (mean (SD))","91.40 (19.06)"
"LE8 BP Score (mean (SD))","52.94 (28.05)"
"LE8 Composite Score (mean (SD))","64.40 (11.79)"
"Family Heart Disease History = both_parents (%)","109 (100.0)"
