"","level","Overall"
"n","","319"
"Sex (%)","Female","180 (56.4)"
"","Male","139 (43.6)"
"Age (mean (SD))","","47.53 (5.04)"
"Smoking (%)","0","185 (58.0)"
"","1","104 (32.6)"
"","2","30 (9.4)"
"Townsend Deprivation Index (mean (SD))","","-0.70 (3.06)"
"LE8 Diet Score (mean (SD))","","52.15 (30.36)"
"LE8 PA Score (mean (SD))","","32.41 (28.51)"
"LE8 Smoking Score (mean (SD))","","85.13 (30.81)"
"LE8 Sleep Health Points (mean (SD))","","86.75 (22.29)"
"LE8 BMI Points (mean (SD))","","64.37 (30.65)"
"LE8 Blood Lipid Points (mean (SD))","","41.03 (25.88)"
"LE8 HbA1c Score (mean (SD))","","92.93 (16.50)"
"LE8 BP Score (mean (SD))","","51.21 (27.04)"
"LE8 Composite Score (mean (SD))","","63.25 (10.21)"
"Race (%)","Black","3 (0.9)"
"","Other","4 (1.3)"
"","South Asian","8 (2.5)"
"","White","304 (95.3)"
"Alcohol intake frequency (%)","1-2x/wk","95 (29.8)"
"","1-3x/mo","40 (12.5)"
"","3-4x/wk","63 (19.7)"
"","Daily or almost Daily","51 (16.0)"
"","Never","33 (10.3)"
"","Special Occasions Only","37 (11.6)"
"Chronic Kidney Disease (%)","0","311 (97.5)"
"","1","8 (2.5)"
"Rheumatoid arthritis (%)","0","308 (96.6)"
"","1","11 (3.4)"
"Pooled Cohort Equation Risk (mean (SD))","","0.03 (0.01)"
"Apolipoprotein B (mean (SD))","","1.09 (0.19)"
"Lipoprotein A (mean (SD))","","73.06 (59.32)"
"Age of CAD Onset (mean (SD))","","52.01 (4.98)"
"C Reactive Protein (mean (SD))","","3.14 (5.46)"
"Family Heart Disease History (%)","both_parents","47 (14.7)"
"","father","100 (31.3)"
"","mother","48 (15.0)"
"","no_history","124 (38.9)"
"Familial Hypercholesterolemia Variant Status (%)","1","1 (100.0)"
