PRS,prop,low_ci,high_ci
df1,0.0886075949367089,0.0253164556962025,0.164235378850564
df2,0.0886075949367089,0.0379746835443038,0.164556962025316
df3,0.113924050632911,0.0506329113924051,0.189873417721519
df4,0.126582278481013,0.0632911392405063,0.20253164556962
df5,0.139240506329114,0.0632911392405063,0.227848101265823
df6,0.0886075949367089,0.0379746835443038,0.164556962025316
df7,0.0632911392405063,0.0126582278481013,0.12626069530626
df8,0.10126582278481,0.0379746835443038,0.164556962025316
df9,0.126582278481013,0.0506329113924051,0.215189873417722
df10,0.0379746835443038,0,0.0886075949367089
df11,0.139240506329114,0.0636127224152598,0.227848101265823
df12,0.341772151898734,0.240506329113924,0.443037974683544
df13,0.291139240506329,0.189873417721519,0.405063291139241
df14,0.113924050632911,0.0506329113924051,0.189873417721519
df15,0.113924050632911,0.0506329113924051,0.177215189873418
df16,0.164556962025316,0.0886075949367089,0.253164556962025
df17,0.139240506329114,0.0632911392405063,0.227848101265823
df18,0.126582278481013,0.0632911392405063,0.20253164556962
df19,0.10126582278481,0.0379746835443038,0.164556962025316
df20,0.0886075949367089,0.0379746835443038,0.151898734177215
df21,0.113924050632911,0.0506329113924051,0.189873417721519
df22,0.164556962025316,0.0886075949367089,0.253164556962025
df23,0.0886075949367089,0.0253164556962025,0.151898734177215
df24,0.151898734177215,0.0759493670886076,0.227848101265823
df25,0.20253164556962,0.113924050632911,0.291139240506329
df26,0.177215189873418,0.10126582278481,0.265822784810127
df27,0.139240506329114,0.0759493670886076,0.215189873417722
df28,0.0759493670886076,0.0253164556962025,0.139240506329114
df29,0.139240506329114,0.0632911392405063,0.215189873417722
df30,0.113924050632911,0.0382962667190572,0.189873417721519
df31,0.113924050632911,0.0506329113924051,0.189873417721519
df32,0.189873417721519,0.10126582278481,0.278481012658228
df33,0.278481012658228,0.189873417721519,0.379425252268285
df34,0.10126582278481,0.0379746835443038,0.177215189873418
df35,0.316455696202532,0.215189873417722,0.417721518987342
df36,0.0886075949367089,0.0379746835443038,0.151898734177215
df37,0.0886075949367089,0.0253164556962025,0.151898734177215
df38,0.10126582278481,0.0379746835443038,0.164556962025316
df39,0.278481012658228,0.177215189873418,0.379746835443038
df40,0.177215189873418,0.10126582278481,0.265822784810127
df41,0.30379746835443,0.215189873417722,0.405063291139241
df42,0.240506329113924,0.151898734177215,0.341450568723981
df43,0.240506329113924,0.139562089503867,0.341772151898734
df44,0.215189873417722,0.114245633807665,0.30379746835443
df45,0.126582278481013,0.0632911392405063,0.215189873417722
df46,0.240506329113924,0.151898734177215,0.329113924050633
df47,0.316455696202532,0.215189873417722,0.417721518987342
df48,0.177215189873418,0.10126582278481,0.265822784810127
df49,0.240506329113924,0.151898734177215,0.341772151898734
df50,0.0632911392405063,0.0126582278481013,0.126582278481013
df51,0.0886075949367089,0.0379746835443038,0.164556962025316
df52,0.30379746835443,0.20253164556962,0.405063291139241
df53,0.291139240506329,0.189873417721519,0.405063291139241
df54,0.278481012658228,0.177215189873418,0.367088607594937
df55,0.20253164556962,0.126582278481013,0.30379746835443
df56,0.189873417721519,0.10126582278481,0.290817657331576
df57,0.151898734177215,0.0759493670886076,0.240506329113924
df58,0.151898734177215,0.0759493670886076,0.240506329113924
