PRS,Group,HR,CI_lower,CI_upper
PGS004744,British_White ,1.558754831,1.518573425,1.599999435
PGS004745,British_White ,1.816722848,1.768741556,1.866005747
PGS004746,British_White ,1.74495444,1.699257272,1.791880515
PGS000010,other,1.183141121,1.109349422,1.261841297
PGS000011,other,1.204718802,1.130679731,1.283606092
PGS000012,other,1.175795772,1.103386734,1.252956605
PGS000013,other,1.376558163,1.292325351,1.466281208
PGS000018,other,1.355445192,1.270385318,1.446200331
PGS000019,other,1.27747048,1.197315501,1.362991481
PGS000057,other,1.188439213,1.114959937,1.266760999
PGS000058,other,1.347500995,1.26407655,1.43643115
PGS000059,other,1.229933252,1.153499836,1.311431314
PGS000200,other,1.185540968,1.112643142,1.263214892
PGS000296,other,1.384351563,1.298030565,1.476413039
PGS000329,other,1.437079646,1.342435229,1.538396687
PGS000337,other,1.75867872,1.646640623,1.878339935
PGS000349,other,1.079215663,1.012510257,1.150315702
PGS000746,other,1.305709885,1.222838119,1.394197872
PGS000747,other,1.21900754,1.145443691,1.29729588
PGS000748,other,1.246866043,1.169473563,1.329380141
PGS000749,other,1.243730731,1.166578661,1.325985278
PGS000798,other,1.278754676,1.198927143,1.363897324
PGS000818,other,1.28332052,1.20415903,1.367686093
PGS000899,other,1.351301653,1.267190987,1.440995221
PGS000962,other,1.334112612,1.250796772,1.422978138
PGS001355,other,1.391717029,1.305288015,1.483868898
PGS001780,other,1.385536051,1.300703264,1.475901693
PGS001839,other,1.780008525,1.667244346,1.900399518
PGS002048,other,1.78219726,1.669778827,1.902184303
PGS002244,other,1.353299947,1.269638797,1.442473836
PGS002262,other,1.211745027,1.136897041,1.291520656
PGS002775,other,1.247036015,1.168738851,1.330578531
PGS002776,other,1.306615033,1.224515986,1.394218502
PGS002809,other,1.298185214,1.216758438,1.385061157
PGS003355,other,1.359872173,1.276533269,1.448651885
PGS003356,other,1.869215945,1.751538974,1.994799031
PGS003438,other,1.354774728,1.270970203,1.44410511
PGS003446,other,1.56264192,1.467029422,1.664485888
PGS003725,other,1.55522824,1.45617185,1.661022962
PGS003726,other,1.555160713,1.457677695,1.659162962
PGS003727,other,1.525640119,1.431353033,1.62613815
PGS003866,other,1.625294412,1.523299094,1.734119016
PGS004196,other,1.446949712,1.359215416,1.540347059
PGS004197,other,1.668773997,1.566545031,1.777674179
PGS004198,other,1.549682981,1.456185757,1.649183376
PGS004199,other,1.545152389,1.450807822,1.645632088
PGS004200,other,1.629548386,1.53018277,1.735366517
PGS004321,other,1.220679949,1.145596855,1.300684034
PGS004443,other,1.476232334,1.379454733,1.579799504
PGS004444,other,1.467378176,1.370540021,1.571058618
PGS004513,other,1.451782202,1.355999105,1.554331086
PGS004514,other,1.451426001,1.355045623,1.554661629
PGS004595,other,1.237228898,1.161100543,1.318348661
PGS004596,other,1.221174355,1.14543298,1.301924105
PGS004696,other,1.869241746,1.75032481,1.996237889
PGS004697,other,1.957953698,1.830594437,2.094173678
PGS004698,other,1.656670236,1.552545458,1.767778365
PGS004743,other,1.659140907,1.552116708,1.773544821
PGS004744,other,1.548573497,1.449465506,1.654458051
PGS004745,other,1.762261441,1.645884785,1.886866819
PGS004746,other,1.703238846,1.593346488,1.820710429
