"variable","p_value"
"Age",0.0597199119383142
"Townsend Deprivation Index",0.0142540072469898
"LE8 Diet Score",0.873035694621425
"LE8 PA Score",0.977303799687446
"LE8 Smoking Score",0.0617467813963051
"LE8 Sleep Health Points",0.816409962918504
"LE8 BMI Points",0.990825279309987
"LE8 Blood Lipid Points",9.9116653357046e-08
"LE8 HbA1c Score",0.035584622592806
"LE8 BP Score",0.0271137047980111
"LE8 Composite Score",0.0487036642441448
"Pooled Cohort Equation Risk",0.00153614689140163
"Apolipoprotein B",9.29765736272796e-10
"Lipoprotein A",3.83004498051816e-14
"C Reactive Protein",0.228026935852029
"Age of CAD Onset",0.113073774191313
