variable,prop,lower_95,upper_95
BMI,0.168224299,0.102803738,0.242990654
CRP,0.174311927,0.100917431,0.247706422
Lp(a),0.069767442,0.023255814,0.127906977
prs_lpa_cutoff,0.170731707,0.085365854,0.267982865
prs_pce_cutoff,0.37804878,0.268292683,0.475609756
PRS,0.365384615,0.269230769,0.451923077
