"variable","p_value"
"Age","< 1e-300"
"C Reactive Protein","0.164599"
"Townsend Deprivation Index","0.014495"
"Pooled Cohort Equation Risk","< 1e-300"
"LE8 Diet Score"," 6.8160e-10"
"LE8 PA Score","0.914074"
"LE8 Smoking Score"," 7.7681e-87"
"LE8 Sleep Health Points","0.147057"
"LE8 BMI Points"," 2.4130e-46"
"LE8 Blood Lipid Points","0.033238"
"LE8 HbA1c Score","< 1e-300"
"LE8 BP Score","3.2025e-276"
"LE8 Composite Score","7.5068e-240"
