"","variable","chi_sq_p","fisher_p"
"1","Sex",0.174032711043319,0.150841731348429
"2","Smoking",0.0766277963725844,0.0765627689264385
"3","Race",0.233915148462027,0.211282756234264
"4","Alcohol intake frequency",0.136939830998593,0.152022282448081
"5","Chronic Kidney Disease",0.502723046043927,0.368642311909888
"6","Rheumatoid arthritis",0.14930969722479,0.0996768533441911
"7","Family Heart Disease History",0.00140380818379747,0.00144216007393884
"8","Familial Hypercholesterolemia Variant Status",0.317310507862914,NA
