PRS,prop,low_ci,high_ci
df1,0.113924050632911,0.0506329113924051,0.189873417721519
df2,0.151898734177215,0.0759493670886076,0.240184745939171
df3,0.151898734177215,0.0759493670886076,0.227848101265823
df4,0.189873417721519,0.113924050632911,0.278481012658228
df5,0.164556962025316,0.0886075949367089,0.253164556962025
df6,0.10126582278481,0.0379746835443038,0.164556962025316
df7,0.0759493670886076,0.0253164556962025,0.139240506329114
df8,0.113924050632911,0.0506329113924051,0.177215189873418
df9,0.139240506329114,0.0759493670886076,0.227848101265823
df10,0.113924050632911,0.0506329113924051,0.189873417721519
df11,0.189873417721519,0.10126582278481,0.278481012658228
df12,0.392405063291139,0.291139240506329,0.506007530749298
df13,0.341772151898734,0.240506329113924,0.443037974683544
df14,0.139240506329114,0.0759493670886076,0.215189873417722
df15,0.113924050632911,0.0506329113924051,0.189873417721519
df16,0.177215189873418,0.10126582278481,0.265822784810127
df17,0.177215189873418,0.0886075949367089,0.265822784810127
df18,0.215189873417722,0.126582278481013,0.316455696202532
df19,0.151898734177215,0.0759493670886076,0.240506329113924
df20,0.113924050632911,0.0506329113924051,0.189873417721519
df21,0.126582278481013,0.0632911392405063,0.20253164556962
df22,0.265822784810127,0.177215189873418,0.367088607594937
df23,0.20253164556962,0.113924050632911,0.291139240506329
df24,0.20253164556962,0.113924050632911,0.30379746835443
df25,0.329113924050633,0.227848101265823,0.430379746835443
df26,0.341772151898734,0.240506329113924,0.443037974683544
df27,0.164556962025316,0.0886075949367089,0.240506329113924
df28,0.0632911392405063,0.0126582278481013,0.126582278481013
df29,0.0886075949367089,0.0253164556962025,0.151898734177215
df30,0.164556962025316,0.0886075949367089,0.253164556962025
df31,0.151898734177215,0.0759493670886076,0.240506329113924
df32,0.151898734177215,0.0759493670886076,0.240506329113924
df33,0.329113924050633,0.227848101265823,0.443037974683544
df34,0.164556962025316,0.0886075949367089,0.253164556962025
df35,0.367088607594937,0.253486140136779,0.481012658227848
df36,0.253164556962025,0.164556962025316,0.354430379746835
df37,0.215189873417722,0.126582278481013,0.30379746835443
df38,0.215189873417722,0.126582278481013,0.316455696202532
df39,0.265822784810127,0.177215189873418,0.367088607594937
df40,0.215189873417722,0.126582278481013,0.316455696202532
df41,0.367088607594937,0.265822784810127,0.468354430379747
df42,0.215189873417722,0.126582278481013,0.30379746835443
df43,0.278481012658228,0.177215189873418,0.379746835443038
df44,0.291139240506329,0.189873417721519,0.392405063291139
df45,0.113924050632911,0.0506329113924051,0.189873417721519
df46,0.215189873417722,0.126582278481013,0.30379746835443
df47,0.367088607594937,0.253164556962025,0.481012658227848
df48,0.278481012658228,0.177215189873418,0.379746835443038
df49,0.379746835443038,0.278481012658228,0.481012658227848
df50,0.113924050632911,0.0506329113924051,0.189873417721519
df51,0.139240506329114,0.0759493670886076,0.215189873417722
df52,0.354430379746835,0.253164556962025,0.455696202531646
df53,0.430379746835443,0.329113924050633,0.531645569620253
df54,0.316455696202532,0.227848101265823,0.417721518987342
df55,0.30379746835443,0.20253164556962,0.405063291139241
df56,0.227848101265823,0.139240506329114,0.316455696202532
df57,0.329113924050633,0.215189873417722,0.430379746835443
df58,0.379746835443038,0.278481012658228,0.493670886075949
