PRS,prop,low_ci,high_ci
df1,0.12,0,0.28
df2,0.08,0,0.2
df3,0.12,0,0.24
df4,0.12,0,0.24
df5,0.12,0,0.28
df6,0.16,0.04,0.32
df7,0.12,0,0.28
df8,0.08,0,0.2
df9,0.16,0.04,0.32
df10,0.08,0,0.2
df11,0.12,0,0.28
df12,0.2,0.04,0.36
df13,0.16,0.04,0.32
df14,0.16,0.04,0.32
df15,0.12,0,0.24
df16,0.24,0.08,0.438983797167781
df17,0.12,0,0.28
df18,0.12,0,0.24
df19,0.04,0,0.12
df20,0.08,0,0.2
df21,0,0,0
df22,0.12,0,0.278983797167781
df23,0.08,0,0.2
df24,0.2,0.0410162028322209,0.36
df25,0.16,0.04,0.32
df26,0.08,0,0.2
df27,0.12,0,0.24
df28,0.08,0,0.2
df29,0.16,0.04,0.32
df30,0.2,0.04,0.36
df31,0.08,0,0.2
df32,0.2,0.04,0.36
df33,0.32,0.16,0.52
df34,0.12,0,0.24
df35,0.2,0.08,0.36
df36,0.08,0,0.2
df37,0.12,0,0.24
df38,0.16,0.04,0.32
df39,0.16,0.04,0.32
df40,0.12,0,0.24
df41,0.16,0.04,0.32
df42,0.12,0,0.24
df43,0.12,0,0.24
df44,0.2,0.04,0.36
df45,0.16,0.04,0.32
df46,0.08,0,0.2
df47,0.12,0,0.24
df48,0.08,0,0.2
df49,0.16,0.04,0.32
df50,0.04,0,0.12
df51,0.12,0,0.24
df52,0.28,0.12,0.48
df53,0.16,0.04,0.32
df54,0.16,0.04,0.32
df55,0.24,0.08,0.4
df56,0.16,0.04,0.32
df57,0.2,0.08,0.36
df58,0.2,0.04,0.36
