PRS,group,prop,low_ci,high_ci
PGS000013,Female,0.174603175,0.079365079,0.285311031
PGS000018,Female,0.142857143,0.063492063,0.238095238
PGS000019,Female,0.095238095,0.031746032,0.174603175
PGS000057,Female,0.111111111,0.031746032,0.19047619
PGS000058,Female,0.095238095,0.031746032,0.174603175
PGS000059,Female,0.158730159,0.063492063,0.253968254
PGS000200,Female,0.126984127,0.047619048,0.222222222
PGS000296,Female,0.174603175,0.079365079,0.26984127
PGS000329,Female,0.301587302,0.19047619,0.412698413
PGS000337,Female,0.253968254,0.158730159,0.349206349
PGS000349,Female,0.111111111,0.032149287,0.19047619
PGS000746,Female,0.111111111,0.047619048,0.19047619
PGS000747,Female,0.142857143,0.063492063,0.238095238
PGS000748,Female,0.095238095,0.031746032,0.174603175
PGS000749,Female,0.126984127,0.063492063,0.206349206
PGS000798,Female,0.111111111,0.031746032,0.206349206
PGS000818,Female,0.111111111,0.047619048,0.19047619
PGS000899,Female,0.031746032,0,0.079365079
PGS000962,Female,0.19047619,0.095238095,0.285714286
PGS001355,Female,0.174603175,0.079365079,0.26984127
PGS001780,Female,0.174603175,0.079365079,0.26984127
PGS001839,Female,0.238095238,0.142857143,0.333333333
PGS002048,Female,0.238095238,0.142857143,0.349206349
PGS002244,Female,0.158730159,0.079365079,0.253968254
PGS002262,Female,0.015873016,0,0.047619048
PGS002775,Female,0.111111111,0.031746032,0.19047619
PGS002776,Female,0.095238095,0.031746032,0.174603175
PGS002809,Female,0.126984127,0.047619048,0.222222222
PGS003355,Female,0.142857143,0.063492063,0.238095238
PGS003356,Female,0.26984127,0.158730159,0.365079365
PGS003438,Female,0.142857143,0.063492063,0.238095238
PGS003446,Female,0.333333333,0.238095238,0.46031746
PGS003725,Female,0.19047619,0.095238095,0.285714286
PGS003726,Female,0.158730159,0.079365079,0.253968254
PGS003727,Female,0.142857143,0.063492063,0.222222222
PGS003866,Female,0.206349206,0.111111111,0.317460317
PGS004196,Female,0.158730159,0.079365079,0.253968254
PGS004197,Female,0.26984127,0.174603175,0.380952381
PGS004198,Female,0.19047619,0.095238095,0.285714286
PGS004199,Female,0.19047619,0.095238095,0.285714286
PGS004200,Female,0.253968254,0.158730159,0.365079365
PGS004321,Female,0.111111111,0.031746032,0.206349206
PGS004443,Female,0.142857143,0.063492063,0.238095238
PGS004444,Female,0.317460317,0.206349206,0.444444444
PGS004513,Female,0.222222222,0.126984127,0.333333333
PGS004514,Female,0.349206349,0.238095238,0.46031746
PGS004595,Female,0.095238095,0.031746032,0.174603175
PGS004596,Female,0.174603175,0.095238095,0.26984127
PGS004696,Female,0.253968254,0.143260398,0.365079365
PGS004697,Female,0.349206349,0.238095238,0.476190476
PGS004698,Female,0.26984127,0.158730159,0.380952381
PGS004743,Female,0.253968254,0.158730159,0.380952381
PGS004744,Female,0.222222222,0.126984127,0.332930078
PGS004745,Female,0.253968254,0.142857143,0.365079365
PGS004746,Female,0.333333333,0.206349206,0.444444444
