PRS,prop,low_ci,high_ci
df1,0.0952380952380952,0.0317460317460317,0.174603174603175
df2,0.126984126984127,0.0476190476190476,0.222222222222222
df3,0.111111111111111,0.0476190476190476,0.205945951257056
df4,0.174603174603175,0.0793650793650794,0.285311030622135
df5,0.142857142857143,0.0634920634920635,0.238095238095238
df6,0.0952380952380952,0.0317460317460317,0.174603174603175
df7,0.111111111111111,0.0317460317460317,0.19047619047619
df8,0.0952380952380952,0.0317460317460317,0.174603174603175
df9,0.158730158730159,0.0634920634920635,0.253968253968254
df10,0.126984126984127,0.0476190476190476,0.222222222222222
df11,0.174603174603175,0.0793650793650794,0.26984126984127
df12,0.301587301587302,0.19047619047619,0.412698412698413
df13,0.253968253968254,0.158730158730159,0.349206349206349
df14,0.111111111111111,0.0321492868381829,0.19047619047619
df15,0.111111111111111,0.0476190476190476,0.19047619047619
df16,0.142857142857143,0.0634920634920635,0.238095238095238
df17,0.0952380952380952,0.0317460317460317,0.174603174603175
df18,0.126984126984127,0.0634920634920635,0.206349206349206
df19,0.111111111111111,0.0317460317460317,0.206349206349206
df20,0.111111111111111,0.0476190476190476,0.19047619047619
df21,0.0317460317460317,0,0.0793650793650794
df22,0.19047619047619,0.0952380952380952,0.285714285714286
df23,0.174603174603175,0.0793650793650794,0.26984126984127
df24,0.174603174603175,0.0793650793650794,0.26984126984127
df25,0.238095238095238,0.142857142857143,0.333333333333333
df26,0.238095238095238,0.142857142857143,0.349206349206349
df27,0.158730158730159,0.0793650793650794,0.253968253968254
df28,0.0158730158730159,0,0.0476190476190476
df29,0.111111111111111,0.0317460317460317,0.19047619047619
df30,0.0952380952380952,0.0317460317460317,0.174603174603175
df31,0.126984126984127,0.0476190476190476,0.222222222222222
df32,0.142857142857143,0.0634920634920635,0.238095238095238
df33,0.26984126984127,0.158730158730159,0.365079365079365
df34,0.142857142857143,0.0634920634920635,0.238095238095238
df35,0.333333333333333,0.238095238095238,0.46031746031746
df36,0.19047619047619,0.0952380952380952,0.285714285714286
df37,0.158730158730159,0.0793650793650794,0.253968253968254
df38,0.142857142857143,0.0634920634920635,0.222222222222222
df39,0.206349206349206,0.111111111111111,0.317460317460317
df40,0.158730158730159,0.0793650793650794,0.253968253968254
df41,0.26984126984127,0.174603174603175,0.380952380952381
df42,0.19047619047619,0.0952380952380952,0.285714285714286
df43,0.19047619047619,0.0952380952380952,0.285714285714286
df44,0.253968253968254,0.158730158730159,0.365079365079365
df45,0.111111111111111,0.0317460317460317,0.206349206349206
df46,0.142857142857143,0.0634920634920635,0.238095238095238
df47,0.317460317460317,0.206349206349206,0.444444444444444
df48,0.222222222222222,0.126984126984127,0.333333333333333
df49,0.349206349206349,0.238095238095238,0.46031746031746
df50,0.0952380952380952,0.0317460317460317,0.174603174603175
df51,0.174603174603175,0.0952380952380952,0.26984126984127
df52,0.253968253968254,0.143260397949294,0.365079365079365
df53,0.349206349206349,0.238095238095238,0.476190476190476
df54,0.26984126984127,0.158730158730159,0.380952380952381
df55,0.253968253968254,0.158730158730159,0.380952380952381
df56,0.222222222222222,0.126984126984127,0.332930078241183
df57,0.253968253968254,0.142857142857143,0.365079365079365
df58,0.333333333333333,0.206349206349206,0.444444444444444
