"","variable","chi_sq_p","fisher_p"
"1","Sex",0.256133696386585,0.246120320394311
"2","Race",0.0549627881898258,0.0751164702985809
"3","Alcohol intake frequency",0.268765404029516,0.320598887342813
"4","Chronic Kidney Disease",0.999999999999998,1
"5","Rheumatoid arthritis",0.563702861650773,NA
