"variable","p_value"
"Age","< 1e-300"
"C Reactive Protein","0.164796"
"Townsend Deprivation Index","0.014517"
"Pooled Cohort Equation Risk","< 1e-300"
"LE8 Diet Score"," 7.0194e-10"
"LE8 PA Score","0.915609"
"LE8 Smoking Score"," 7.2456e-87"
"LE8 Sleep Health Points","0.147233"
"LE8 BMI Points"," 2.4997e-46"
"LE8 Blood Lipid Points","0.033103"
"LE8 HbA1c Score","< 1e-300"
"LE8 BP Score","3.1584e-276"
"LE8 Composite Score","8.0432e-240"
