variable,prop,lower_95,upper_95
BMI,0.18018018,0.170520132,0.19017199
CRP,0.142880767,0.134612204,0.152141558
Lp(a),0.146352119,0.136304063,0.156394625
prs_lpa_cutoff,0.254966887,0.240818784,0.270018061
prs_pce_cutoff,0.408789886,0.392233594,0.42474413
PRS,0.387734242,0.375468484,0.4
