"","level","Overall"
"n","","327"
"Sex (%)","Female","141 (43.1)"
"","Male","186 (56.9)"
"Age (mean (SD))","","61.14 (6.18)"
"Smoking (%)","0","156 (47.7)"
"","1","138 (42.2)"
"","2","33 (10.1)"
"Townsend Deprivation Index (mean (SD))","","-1.06 (3.19)"
"LE8 Diet Score (mean (SD))","","52.42 (32.50)"
"LE8 PA Score (mean (SD))","","31.81 (29.20)"
"LE8 Smoking Score (mean (SD))","","80.40 (31.24)"
"LE8 Sleep Health Points (mean (SD))","","85.03 (23.01)"
"LE8 BMI Points (mean (SD))","","58.39 (30.41)"
"LE8 Blood Lipid Points (mean (SD))","","50.71 (28.85)"
"LE8 HbA1c Score (mean (SD))","","81.29 (27.43)"
"LE8 BP Score (mean (SD))","","39.37 (25.23)"
"LE8 Composite Score (mean (SD))","","59.93 (11.74)"
"Race (%)","Black","2 (0.6)"
"","Other","5 (1.5)"
"","South Asian","21 (6.4)"
"","White","299 (91.4)"
"Alcohol intake frequency (%)","1-2x/wk","84 (25.7)"
"","1-3x/mo","30 (9.2)"
"","3-4x/wk","48 (14.7)"
"","Daily or almost Daily","78 (23.9)"
"","Never","43 (13.1)"
"","Special Occasions Only","44 (13.5)"
"Chronic Kidney Disease (%)","0","289 (88.4)"
"","1","38 (11.6)"
"Rheumatoid arthritis (%)","0","318 (97.2)"
"","1","9 (2.8)"
"Pooled Cohort Equation Risk (mean (SD))","","0.13 (0.09)"
"Apolipoprotein B (mean (SD))","","0.98 (0.23)"
"Lipoprotein A (mean (SD))","","39.79 (45.13)"
"Age of CAD Onset (mean (SD))","","66.04 (8.32)"
"C Reactive Protein (mean (SD))","","3.39 (5.07)"
"Family Heart Disease History (%)","both_parents","327 (100.0)"
"Familial Hypercholesterolemia Variant Status (%)","1","1 (100.0)"
