variable,prop,lower_95,upper_95
BMI,0.148566464,0.12858384,0.169417897
CRP,0.127641589,0.109044801,0.147083686
Lp(a),0.1108742,0.091684435,0.13110298
prs_lpa_cutoff,0.237426901,0.207017544,0.266666667
prs_pce_cutoff,0.320467836,0.288888889,0.352046784
PRS,0.330861909,0.303058387,0.358641886
