PRS,Group,OR,CI_lower,CI_upper
PGS004746,British_White,2.079807074,2.056686123,2.103187946
PGS000010,other,1.212772481,1.183109692,1.243178973
PGS000011,other,1.21295687,1.183892915,1.24273433
PGS000012,other,1.249152045,1.219224729,1.279813961
PGS000013,other,1.386873224,1.35421446,1.420319601
PGS000018,other,1.459470151,1.423323146,1.496535153
PGS000019,other,1.286137019,1.254677059,1.318385812
PGS000057,other,1.184150362,1.155697898,1.213303305
PGS000058,other,1.383864247,1.350067943,1.418506576
PGS000059,other,1.213152798,1.183779474,1.243254968
PGS000200,other,1.184702755,1.156424056,1.21367297
PGS000296,other,1.40999993,1.375765403,1.445086348
PGS000329,other,1.49086431,1.451426652,1.531373553
PGS000337,other,2.173370736,2.11599115,2.232306291
PGS000349,other,1.096742836,1.070474855,1.123655398
PGS000746,other,1.346848717,1.313184662,1.381375763
PGS000747,other,1.300596198,1.269867854,1.332068108
PGS000748,other,1.295623497,1.264129281,1.327902352
PGS000749,other,1.288611301,1.257214095,1.320792609
PGS000798,other,1.331337052,1.299043774,1.364433117
PGS000818,other,1.292824442,1.261592407,1.324829658
PGS000899,other,1.385062874,1.351210074,1.419763812
PGS000962,other,1.330438608,1.297765707,1.363934091
PGS001355,other,1.43672159,1.40202535,1.472276466
PGS001780,other,1.412630084,1.379215591,1.446854115
PGS001839,other,1.730883388,1.687115139,1.775787101
PGS002048,other,1.762882549,1.718347181,1.808572165
PGS002244,other,1.368034975,1.335150573,1.401729311
PGS002262,other,1.20269827,1.174281177,1.231803045
PGS002775,other,1.307580602,1.275126895,1.340860299
PGS002776,other,1.412134156,1.377050308,1.448111854
PGS002809,other,1.361173247,1.32769176,1.395499064
PGS003355,other,1.438786198,1.404438893,1.473973509
PGS003356,other,2.179563461,2.123652999,2.236945907
PGS003438,other,1.443281896,1.408182766,1.479255877
PGS003446,other,1.7933433,1.750646821,1.837081101
PGS003725,other,1.670618221,1.628556362,1.71376644
PGS003726,other,1.634350211,1.593603704,1.676138556
PGS003727,other,1.576764728,1.538185317,1.616311754
PGS003866,other,1.822458636,1.776526289,1.869578571
PGS004196,other,1.503838495,1.46851926,1.540007189
PGS004197,other,1.679382721,1.639845203,1.719873509
PGS004198,other,1.5450457,1.509186589,1.581756844
PGS004199,other,1.56959361,1.53280393,1.607266301
PGS004200,other,1.62782516,1.589571117,1.666999811
PGS004321,other,1.227336876,1.197421539,1.257999592
PGS004443,other,1.45914371,1.422304821,1.496936756
PGS004444,other,1.487402924,1.449424361,1.526376622
PGS004513,other,1.494628621,1.45629622,1.533970002
PGS004514,other,1.500690617,1.461935555,1.540473053
PGS004595,other,1.257172575,1.227134538,1.28794589
PGS004596,other,1.210397377,1.181208452,1.240307591
PGS004696,other,2.204550439,2.148163698,2.262417265
PGS004697,other,2.538705661,2.470140567,2.609173955
PGS004698,other,1.891787697,1.844726155,1.940049844
PGS004743,other,1.85272477,1.804424628,1.902317791
PGS004744,other,1.677031252,1.634460398,1.720710899
PGS004745,other,1.987394142,1.934361669,2.041880554
PGS004746,other,1.87764603,1.828899936,1.927691364
