PRS,group,HR,CI_lower,CI_upper
PGS004746,British_White,1.744321096,1.698621704,1.791249976
PGS000010,other,1.181160716,1.107494856,1.259726518
PGS000011,other,1.20152556,1.127694063,1.280190893
PGS000012,other,1.176226638,1.102918096,1.254407839
PGS000013,other,1.380950543,1.295752934,1.471750016
PGS000018,other,1.360463629,1.273494495,1.453372036
PGS000019,other,1.28059349,1.200077661,1.366511302
PGS000057,other,1.189727168,1.116185001,1.268114812
PGS000058,other,1.34893547,1.265298178,1.43810126
PGS000059,other,1.23150122,1.154946475,1.313130337
PGS000200,other,1.182458204,1.109790168,1.259884476
PGS000296,other,1.39141977,1.303272868,1.485528492
PGS000329,other,1.438279967,1.343441856,1.539813021
PGS000337,other,1.766314678,1.65331235,1.887040609
PGS000349,other,1.081626755,1.014704976,1.152962156
PGS000746,other,1.306407755,1.223213142,1.395260698
PGS000747,other,1.240058187,1.15964588,1.326046455
PGS000748,other,1.251989937,1.17280674,1.336519264
PGS000749,other,1.247971117,1.169377156,1.331847386
PGS000798,other,1.281714951,1.201551763,1.367226338
PGS000818,other,1.283513522,1.204330316,1.367902925
PGS000899,other,1.35325415,1.268898606,1.443217595
PGS000962,other,1.33236028,1.249073476,1.421200554
PGS001355,other,1.395649587,1.308393568,1.48872466
PGS001780,other,1.398478514,1.310857954,1.491955822
PGS001839,other,1.779044394,1.666270215,1.899451197
PGS002048,other,1.78123965,1.668823216,1.901228758
PGS002244,other,1.356560019,1.271898024,1.446857412
PGS002262,other,1.215321941,1.140090751,1.295517413
PGS002775,other,1.249586665,1.170990682,1.33345795
PGS002776,other,1.308415704,1.225161646,1.39732717
PGS002809,other,1.301167829,1.219423319,1.388392114
PGS003355,other,1.380040597,1.292405351,1.473618202
PGS003356,other,1.89963412,1.777568058,2.03008249
PGS003438,other,1.356579442,1.272526648,1.446184083
PGS003446,other,1.574098693,1.477640082,1.676854009
PGS003725,other,1.557278192,1.457602145,1.663770444
PGS003726,other,1.563959316,1.465098968,1.669490455
PGS003727,other,1.531398351,1.435303134,1.633927254
PGS003866,other,1.625951202,1.523851002,1.734892263
PGS004196,other,1.447990449,1.360117038,1.541541118
PGS004197,other,1.674338797,1.571605356,1.783787766
PGS004198,other,1.55178474,1.458022668,1.651576435
PGS004199,other,1.548793709,1.454050738,1.649709937
PGS004200,other,1.633625914,1.533892596,1.739843868
PGS004321,other,1.218189527,1.143259962,1.298029996
PGS004443,other,1.483711908,1.386402513,1.587851295
PGS004444,other,1.472671947,1.375473917,1.576738486
PGS004513,other,1.457238345,1.360969248,1.560317103
PGS004514,other,1.455820128,1.358982166,1.559558543
PGS004595,other,1.235740384,1.159677123,1.316792636
PGS004596,other,1.221801556,1.145939912,1.302685268
PGS004696,other,1.888045204,1.767602039,2.016695282
PGS004697,other,1.997960699,1.867597431,2.13742367
PGS004698,other,1.669306031,1.564245931,1.781422326
PGS004743,other,1.660923213,1.553326596,1.775972887
PGS004744,other,1.548264176,1.448901262,1.65444121
PGS004745,other,1.761776127,1.645198479,1.886614389
PGS004746,other,1.710729785,1.599614639,1.8295634
