"","variable","chi_sq_p","fisher_p"
"1","Sex",0.174032711043319,0.150841731348429
"2","Race",0.233915148462027,0.211282756234264
"3","Alcohol intake frequency",0.136939830998593,0.152022282448081
"4","Chronic Kidney Disease",0.502723046043927,0.368642311909888
"5","Rheumatoid arthritis",0.14930969722479,0.0996768533441911
