PRS,group,prop,low_ci,high_ci
PGS004746,British_White,0.323769675,0.311416617,0.336914643
PGS000010,other,0.126909518,0.104612697,0.149236193
PGS000011,other,0.132784959,0.110458284,0.156286722
PGS000012,other,0.151586369,0.128084606,0.175088132
PGS000013,other,0.203290247,0.17626322,0.229142186
PGS000018,other,0.192714454,0.168037603,0.219741481
PGS000019,other,0.156286722,0.133960047,0.180933719
PGS000057,other,0.141010576,0.118683901,0.164512338
PGS000058,other,0.216216216,0.189189189,0.243243243
PGS000059,other,0.16333725,0.139835488,0.190334424
PGS000200,other,0.131609871,0.109283196,0.155111633
PGS000296,other,0.192714454,0.166892368,0.218566392
PGS000329,other,0.175088132,0.148090958,0.199735129
PGS000337,other,0.323149236,0.292626798,0.353701528
PGS000349,other,0.1386604,0.117538666,0.162132309
PGS000746,other,0.158636898,0.1339899,0.184488837
PGS000747,other,0.169212691,0.143360752,0.195034777
PGS000748,other,0.168037603,0.142185664,0.193889542
PGS000749,other,0.158636898,0.132784959,0.18213866
PGS000798,other,0.17626322,0.151586369,0.202115159
PGS000818,other,0.165687427,0.141010576,0.1926846
PGS000899,other,0.19506463,0.169212691,0.22441198
PGS000962,other,0.165687427,0.141040429,0.191539365
PGS001355,other,0.205640423,0.176293073,0.234987773
PGS001780,other,0.215041128,0.185663925,0.243243243
PGS001839,other,0.250293772,0.223266745,0.280846063
PGS002048,other,0.262044653,0.233842538,0.290246769
PGS002244,other,0.185663925,0.160987074,0.212690952
PGS002262,other,0.143360752,0.118683901,0.168037603
PGS002775,other,0.160987074,0.136310223,0.186839013
PGS002776,other,0.178613396,0.153936545,0.204465335
PGS002809,other,0.204465335,0.177438308,0.23266745
PGS003355,other,0.223266745,0.193919395,0.251439007
PGS003356,other,0.340775558,0.307902944,0.372502938
PGS003438,other,0.218566392,0.192714454,0.246768508
PGS003446,other,0.263219741,0.235017626,0.291421857
PGS003725,other,0.239717979,0.209165687,0.270240417
PGS003726,other,0.257344301,0.227967098,0.287896592
PGS003727,other,0.252643948,0.224441833,0.282021152
PGS003866,other,0.258519389,0.227996951,0.287896592
PGS004196,other,0.239717979,0.211515864,0.27027027
PGS004197,other,0.28319624,0.252643948,0.312573443
PGS004198,other,0.242068155,0.212720805,0.272620447
PGS004199,other,0.227967098,0.199764982,0.257314448
PGS004200,other,0.278495887,0.247943596,0.30787309
PGS004321,other,0.156286722,0.132784959,0.179788484
PGS004443,other,0.177438308,0.152761457,0.203260394
PGS004444,other,0.179788484,0.155111633,0.205640423
PGS004513,other,0.171562867,0.146886016,0.197414806
PGS004514,other,0.164512338,0.139835488,0.189189189
PGS004595,other,0.151586369,0.128084606,0.17626322
PGS004596,other,0.126909518,0.103407756,0.148061105
PGS004696,other,0.351351351,0.318448884,0.385428907
PGS004697,other,0.380728555,0.346680852,0.41480611
PGS004698,other,0.285546416,0.257344301,0.317273796
PGS004743,other,0.273795535,0.242098008,0.303172738
PGS004744,other,0.220916569,0.191539365,0.247943596
PGS004745,other,0.267920094,0.237397656,0.298472385
PGS004746,other,0.265569918,0.236192714,0.294947121
