PRS,group,prop,low_ci,high_ci
PGS000010,Total,0.124919094,0.109385113,0.142378379
PGS000011,Total,0.121682848,0.105501618,0.137216828
PGS000012,Total,0.137216828,0.121682848,0.154676113
PGS000013,Total,0.178640777,0.159223301,0.198705502
PGS000018,Total,0.184466019,0.165064987,0.203236246
PGS000019,Total,0.137216828,0.12038835,0.155339806
PGS000057,Total,0.12038835,0.10420712,0.137216828
PGS000058,Total,0.154045307,0.13592233,0.17344634
PGS000059,Total,0.147572816,0.130097087,0.165048544
PGS000200,Total,0.115857605,0.099029126,0.132038835
PGS000296,Total,0.166343042,0.148220065,0.184466019
PGS000329,Total,0.29579288,0.273786408,0.318430159
PGS000337,Total,0.275080906,0.254368932,0.297070935
PGS000349,Total,0.108737864,0.093851133,0.1255499
PGS000746,Total,0.148867314,0.130744337,0.165695793
PGS000747,Total,0.161812298,0.144983819,0.18121333
PGS000748,Total,0.15210356,0.133349777,0.172168285
PGS000749,Total,0.146925566,0.129449838,0.165048544
PGS000798,Total,0.144983819,0.12815534,0.161795854
PGS000818,Total,0.134627832,0.119093851,0.153381615
PGS000899,Total,0.153398058,0.134644275,0.170873786
PGS000962,Total,0.173462783,0.155339806,0.193527508
PGS001355,Total,0.166343042,0.150161812,0.18381877
PGS001780,Total,0.178640777,0.159239744,0.197411003
PGS001839,Total,0.254368932,0.233026152,0.275711712
PGS002048,Total,0.244012945,0.222670165,0.266002974
PGS002244,Total,0.165695793,0.146278317,0.184449576
PGS002262,Total,0.130744337,0.114563107,0.147572816
PGS002775,Total,0.153398058,0.135938774,0.170226537
PGS002776,Total,0.172168285,0.154045307,0.190938511
PGS002809,Total,0.143042071,0.124919094,0.161165049
PGS003355,Total,0.188996764,0.168932039,0.207119741
PGS003356,Total,0.274433657,0.251149129,0.297070935
PGS003438,Total,0.150161812,0.132038835,0.16763754
PGS003446,Total,0.271197411,0.249190939,0.293203883
PGS003725,Total,0.196763754,0.175420974,0.217459285
PGS003726,Total,0.196116505,0.17605178,0.215533981
PGS003727,Total,0.188996764,0.170226537,0.207119741
PGS003866,Total,0.222006472,0.20260544,0.242718447
PGS004196,Total,0.187055016,0.16763754,0.205808799
PGS004197,Total,0.249838188,0.229789906,0.271180968
PGS004198,Total,0.206472492,0.187055016,0.227184466
PGS004199,Total,0.206472492,0.185760518,0.227831715
PGS004200,Total,0.225242718,0.205841686,0.245307443
PGS004321,Total,0.135275081,0.119110295,0.152734366
PGS004443,Total,0.243365696,0.222653722,0.266019417
PGS004444,Total,0.275728155,0.254368932,0.299029126
PGS004513,Total,0.230420712,0.209077932,0.252410741
PGS004514,Total,0.241423948,0.219450363,0.262135922
PGS004595,Total,0.131391586,0.114563107,0.148220065
PGS004596,Total,0.121682848,0.105501618,0.137216828
PGS004696,Total,0.297734628,0.274433657,0.319093851
PGS004697,Total,0.315857605,0.293867576,0.339142133
PGS004698,Total,0.262783172,0.24012945,0.285436893
PGS004743,Total,0.243365696,0.221359223,0.266002974
PGS004744,Total,0.203883495,0.185113269,0.224579026
PGS004745,Total,0.23236246,0.211003236,0.255016181
PGS004746,Total,0.245954693,0.22394822,0.267297472
PGS000010,Male,0.145648313,0.11722913,0.175843694
PGS000011,Male,0.134991119,0.106617061,0.163410302
PGS000012,Male,0.140319716,0.110124334,0.170515098
PGS000013,Male,0.222024867,0.188277087,0.255772647
PGS000018,Male,0.220248668,0.186500888,0.253996448
PGS000019,Male,0.174067496,0.145648313,0.206039076
PGS000057,Male,0.129662522,0.104795737,0.15981278
PGS000058,Male,0.174067496,0.142141039,0.204262877
PGS000059,Male,0.14920071,0.119005329,0.181172291
PGS000200,Male,0.134991119,0.106571936,0.165186501
PGS000296,Male,0.191829485,0.159903029,0.22553214
PGS000329,Male,0.31616341,0.277087034,0.355239787
PGS000337,Male,0.291296625,0.253996448,0.326820604
PGS000349,Male,0.11722913,0.090586146,0.143872114
PGS000746,Male,0.191829485,0.158081705,0.223801066
PGS000747,Male,0.190053286,0.159857904,0.223801066
PGS000748,Male,0.161634103,0.131483846,0.191829485
PGS000749,Male,0.1669627,0.136767318,0.195381883
PGS000798,Male,0.179396092,0.145648313,0.211322549
PGS000818,Male,0.156305506,0.124333925,0.186500888
PGS000899,Male,0.181172291,0.147424512,0.211322549
PGS000962,Male,0.188277087,0.158081705,0.222024867
PGS001355,Male,0.197158082,0.163410302,0.230905861
PGS001780,Male,0.198934281,0.1669627,0.23268206
PGS001839,Male,0.282415631,0.246891652,0.323268206
PGS002048,Male,0.259325044,0.227353464,0.298401421
PGS002244,Male,0.191829485,0.158081705,0.225577265
PGS002262,Male,0.140319716,0.113676732,0.168738899
PGS002775,Male,0.174067496,0.140319716,0.207770151
PGS002776,Male,0.206039076,0.17411262,0.241517931
PGS002809,Male,0.165186501,0.134991119,0.197158082
PGS003355,Male,0.21669627,0.18294849,0.252220249
PGS003356,Male,0.314387211,0.275310835,0.34991119
PGS003438,Male,0.152753108,0.122557726,0.184724689
PGS003446,Male,0.259325044,0.223801066,0.298401421
PGS003725,Male,0.21669627,0.184724689,0.252220249
PGS003726,Male,0.223801066,0.190053286,0.261101243
PGS003727,Male,0.234458259,0.197203206,0.268206039
PGS003866,Male,0.261101243,0.225577265,0.296625222
PGS004196,Male,0.214920071,0.181172291,0.248622726
PGS004197,Male,0.269982238,0.230905861,0.310789689
PGS004198,Male,0.223801066,0.190053286,0.261056119
PGS004199,Male,0.230905861,0.197203206,0.264653641
PGS004200,Male,0.25044405,0.214920071,0.285968028
PGS004321,Male,0.161634103,0.13321492,0.191829485
PGS004443,Male,0.264653641,0.230905861,0.301908694
PGS004444,Male,0.262877442,0.227353464,0.30017762
PGS004513,Male,0.25044405,0.21669627,0.287744227
PGS004514,Male,0.236234458,0.202486679,0.271758437
PGS004595,Male,0.150976909,0.120781528,0.18294849
PGS004596,Male,0.127886323,0.101243339,0.158081705
PGS004696,Male,0.325044405,0.287744227,0.362344583
PGS004697,Male,0.339253996,0.300222744,0.374777975
PGS004698,Male,0.262877442,0.227353464,0.30017762
PGS004743,Male,0.262877442,0.225577265,0.298401421
PGS004744,Male,0.206039076,0.174067496,0.239786856
PGS004745,Male,0.236234458,0.198934281,0.273534636
PGS004746,Male,0.271758437,0.236234458,0.312565888
PGS000010,Female,0.113034623,0.091649695,0.133401222
PGS000011,Female,0.114052953,0.095723014,0.134419552
PGS000012,Female,0.135437882,0.114078824,0.15679694
PGS000013,Female,0.153767821,0.131390433,0.175152749
PGS000018,Female,0.16395112,0.141547862,0.187372709
PGS000019,Female,0.116089613,0.095723014,0.137474542
