PRS,Group,OR,low_ci,high_ci
PGS004697,Subset_Other,1.597284086,1.282117169,1.989924567
PGS004698,Subset_Other,1.145264937,0.969030988,1.353549878
PGS004743,Subset_Other,1.296707973,1.0090923,1.66630106
PGS004744,Subset_Other,1.21936488,0.956894651,1.553829053
PGS004745,Subset_Other,1.165132959,0.910122583,1.491595569
PGS004746,Subset_Other,1.260659442,0.98716124,1.609931755
PGS000010,Subset_White,1.136221214,1.072013735,1.204274353
PGS000011,Subset_White,1.127242676,1.062302041,1.19615326
PGS000012,Subset_White,1.153637101,1.087571555,1.223715859
PGS000013,Subset_White,1.255086882,1.181534402,1.333218127
PGS000018,Subset_White,1.245235284,1.174528182,1.320198984
PGS000019,Subset_White,1.17142248,1.104951752,1.241891896
PGS000057,Subset_White,1.122398041,1.057973525,1.19074564
PGS000058,Subset_White,1.260071548,1.188123585,1.33637639
PGS000059,Subset_White,1.170168254,1.104146281,1.240137983
PGS000200,Subset_White,1.104308076,1.0403956,1.172146755
PGS000296,Subset_White,1.239428266,1.168598437,1.314551156
PGS000329,Subset_White,1.231770435,1.162711892,1.304930666
PGS000337,Subset_White,1.23871434,1.167966302,1.313747849
PGS000349,Subset_White,1.096508945,1.033907794,1.162900477
PGS000746,Subset_White,1.253503098,1.18225351,1.329046607
PGS000747,Subset_White,1.153390329,1.088540818,1.222103231
PGS000748,Subset_White,1.1667146,1.101293937,1.236021475
PGS000749,Subset_White,1.170807439,1.105127214,1.24039119
PGS000798,Subset_White,1.221103972,1.151094443,1.295371478
PGS000818,Subset_White,1.184410225,1.116537742,1.256408564
PGS000899,Subset_White,1.240530924,1.169664315,1.315691137
PGS000962,Subset_White,1.224557547,1.155101173,1.298190342
PGS001355,Subset_White,1.25387981,1.181840524,1.330310264
PGS001780,Subset_White,1.242084113,1.170597973,1.317935773
PGS001839,Subset_White,1.282408498,1.208692619,1.36062017
PGS002048,Subset_White,1.276049218,1.202517207,1.354077594
PGS002244,Subset_White,1.240657634,1.169111811,1.316581827
PGS002262,Subset_White,1.119890019,1.054813454,1.188981473
