PRS,prop,low_ci,high_ci
df1,0.161434977578475,0.125560538116592,0.192825112107623
df2,0.12780269058296,0.0986547085201794,0.15695067264574
df3,0.145739910313901,0.116591928251121,0.18155738773362
df4,0.163677130044843,0.130044843049327,0.199551569506726
df5,0.152466367713004,0.121076233183857,0.18609865470852
df6,0.136771300448431,0.103139013452915,0.165919282511211
df7,0.103139013452915,0.0762331838565022,0.13223003347353
df8,0.188340807174888,0.152466367713004,0.224215246636771
df9,0.143497757847534,0.109865470852018,0.179315235267252
df10,0.114349775784753,0.0852017937219731,0.145739910313901
df11,0.152466367713004,0.118834080717489,0.188283845132723
df12,0.168161434977579,0.134529147982063,0.20627802690583
df13,0.18609865470852,0.150224215246637,0.219730941704036
df14,0.109865470852018,0.0829596412556054,0.141255605381166
df15,0.183856502242152,0.147982062780269,0.221973094170404
df16,0.152466367713004,0.121076233183857,0.18609865470852
df17,0.15695067264574,0.123318385650224,0.190582959641256
df18,0.15695067264574,0.123318385650224,0.190582959641256
df19,0.154708520179372,0.123318385650224,0.188340807174888
df20,0.143497757847534,0.109865470852018,0.177130044843049
df21,0.170403587443946,0.136771300448431,0.204035874439462
df22,0.165919282511211,0.132286995515695,0.199551569506726
df23,0.172645739910314,0.132286995515695,0.213004484304933
df24,0.161434977578475,0.12780269058296,0.197309417040359
df25,0.177130044843049,0.143497757847534,0.2152466367713
df26,0.190582959641256,0.152523329755169,0.226457399103139
df27,0.177130044843049,0.143497757847534,0.213004484304933
df28,0.132286995515695,0.100953823028712,0.165919282511211
df29,0.15695067264574,0.125617500158757,0.192825112107623
df30,0.170403587443946,0.136771300448431,0.208520179372197
df31,0.15695067264574,0.121076233183857,0.192825112107623
df32,0.165919282511211,0.132286995515695,0.201793721973094
df33,0.244394618834081,0.20627802690583,0.286938553652903
df34,0.179372197309417,0.145739910313901,0.217488789237668
df35,0.139013452914798,0.10762331838565,0.172645739910314
df36,0.217488789237668,0.179429159351582,0.257847533632287
df37,0.260089686098655,0.217488789237668,0.300448430493274
df38,0.260089686098655,0.219787903746201,0.302633620917477
df39,0.177130044843049,0.141255605381166,0.212947522262768
df40,0.150224215246637,0.116591928251121,0.183799540199988
df41,0.150224215246637,0.116591928251121,0.183799540199988
df42,0.134529147982063,0.103139013452915,0.170403587443946
df43,0.139013452914798,0.10762331838565,0.172645739910314
df44,0.150224215246637,0.116591928251121,0.181614349775785
df45,0.170403587443946,0.136771300448431,0.20627802690583
df46,0.159192825112108,0.125560538116592,0.197252454998194
df47,0.109865470852018,0.0829596412556054,0.141255605381166
df48,0.125560538116592,0.0986547085201794,0.15695067264574
df49,0.121076233183857,0.0919852131632411,0.150224215246637
df50,0.123318385650224,0.0941704035874439,0.15695067264574
df51,0.118834080717489,0.0896860986547085,0.150224215246637
df52,0.179372197309417,0.145739910313901,0.219730941704036
df53,0.192825112107623,0.15695067264574,0.228699551569507
df54,0.165919282511211,0.132286995515695,0.201793721973094
df55,0.18609865470852,0.150224215246637,0.221973094170404
df56,0.168161434977579,0.134529147982063,0.204035874439462
df57,0.174887892376682,0.139070414956963,0.210762331838565
df58,0.183856502242152,0.147982062780269,0.219730941704036
