PRS,group,prop,low_ci,high_ci
PGS000010,other,0.12,0,0.28
PGS000011,other,0.08,0,0.2
PGS000012,other,0.12,0,0.24
PGS000013,other,0.12,0,0.24
PGS000018,other,0.12,0,0.28
PGS000019,other,0.16,0.04,0.32
PGS000057,other,0.12,0,0.28
PGS000058,other,0.08,0,0.2
PGS000059,other,0.16,0.04,0.32
PGS000200,other,0.08,0,0.2
PGS000296,other,0.12,0,0.28
PGS000329,other,0.2,0.04,0.36
PGS000337,other,0.16,0.04,0.32
PGS000349,other,0.16,0.04,0.32
PGS000746,other,0.12,0,0.24
PGS000747,other,0.24,0.08,0.438983797
PGS000748,other,0.12,0,0.28
PGS000749,other,0.12,0,0.24
PGS000798,other,0.04,0,0.12
PGS000818,other,0.08,0,0.2
PGS000899,other,0,0,0
PGS000962,other,0.12,0,0.278983797
PGS001355,other,0.08,0,0.2
PGS001780,other,0.2,0.041016203,0.36
PGS001839,other,0.16,0.04,0.32
PGS002048,other,0.08,0,0.2
PGS002244,other,0.12,0,0.24
PGS002262,other,0.08,0,0.2
PGS002775,other,0.16,0.04,0.32
PGS002776,other,0.2,0.04,0.36
PGS002809,other,0.08,0,0.2
PGS003355,other,0.2,0.04,0.36
PGS003356,other,0.32,0.16,0.52
PGS003438,other,0.12,0,0.24
PGS003446,other,0.2,0.08,0.36
PGS003725,other,0.08,0,0.2
PGS003726,other,0.12,0,0.24
PGS003727,other,0.16,0.04,0.32
PGS003866,other,0.16,0.04,0.32
PGS004196,other,0.12,0,0.24
PGS004197,other,0.16,0.04,0.32
PGS004198,other,0.12,0,0.24
PGS004199,other,0.12,0,0.24
PGS004200,other,0.2,0.04,0.36
PGS004321,other,0.16,0.04,0.32
PGS004443,other,0.08,0,0.2
PGS004444,other,0.12,0,0.24
PGS004513,other,0.08,0,0.2
PGS004514,other,0.16,0.04,0.32
PGS004595,other,0.04,0,0.12
PGS004596,other,0.12,0,0.24
PGS004696,other,0.28,0.12,0.48
PGS004697,other,0.16,0.04,0.32
PGS004698,other,0.16,0.04,0.32
PGS004743,other,0.24,0.08,0.4
PGS004744,other,0.16,0.04,0.32
PGS004745,other,0.2,0.08,0.36
PGS004746,other,0.2,0.04,0.36
