PRS,group,prop,low_ci,high_ci
PGS000010,Total,0.124919094,0.109385113,0.142378379
PGS000011,Total,0.121682848,0.105501618,0.137216828
PGS000012,Total,0.137216828,0.121682848,0.154676113
PGS000013,Total,0.178640777,0.159223301,0.198705502
PGS000018,Total,0.184466019,0.165064987,0.203236246
PGS000019,Total,0.137216828,0.12038835,0.155339806
PGS000057,Total,0.12038835,0.10420712,0.137216828
PGS000058,Total,0.154045307,0.13592233,0.17344634
PGS000059,Total,0.147572816,0.130097087,0.165048544
PGS000200,Total,0.115857605,0.099029126,0.132038835
PGS000296,Total,0.166343042,0.148220065,0.184466019
PGS000329,Total,0.29579288,0.273786408,0.318430159
PGS000337,Total,0.275080906,0.254368932,0.297070935
PGS000349,Total,0.108737864,0.093851133,0.1255499
PGS000746,Total,0.148867314,0.130744337,0.165695793
PGS000747,Total,0.161812298,0.144983819,0.18121333
PGS000748,Total,0.15210356,0.133349777,0.172168285
PGS000749,Total,0.146925566,0.129449838,0.165048544
PGS000798,Total,0.144983819,0.12815534,0.161795854
PGS000818,Total,0.134627832,0.119093851,0.153381615
PGS000899,Total,0.153398058,0.134644275,0.170873786
PGS000962,Total,0.173462783,0.155339806,0.193527508
PGS001355,Total,0.166343042,0.150161812,0.18381877
PGS001780,Total,0.178640777,0.159239744,0.197411003
PGS001839,Total,0.254368932,0.233026152,0.275711712
PGS002048,Total,0.244012945,0.222670165,0.266002974
PGS002244,Total,0.165695793,0.146278317,0.184449576
PGS002262,Total,0.130744337,0.114563107,0.147572816
PGS002775,Total,0.153398058,0.135938774,0.170226537
PGS002776,Total,0.172168285,0.154045307,0.190938511
PGS002809,Total,0.143042071,0.124919094,0.161165049
PGS003355,Total,0.188996764,0.168932039,0.207119741
PGS003356,Total,0.274433657,0.251149129,0.297070935
PGS003438,Total,0.150161812,0.132038835,0.16763754
PGS003446,Total,0.271197411,0.249190939,0.293203883
PGS003725,Total,0.196763754,0.175420974,0.217459285
PGS003726,Total,0.196116505,0.17605178,0.215533981
PGS003727,Total,0.188996764,0.170226537,0.207119741
PGS003866,Total,0.222006472,0.20260544,0.242718447
PGS004196,Total,0.187055016,0.16763754,0.205808799
PGS004197,Total,0.249838188,0.229789906,0.271180968
PGS004198,Total,0.206472492,0.187055016,0.227184466
PGS004199,Total,0.206472492,0.185760518,0.227831715
PGS004200,Total,0.225242718,0.205841686,0.245307443
PGS004321,Total,0.135275081,0.119110295,0.152734366
PGS004443,Total,0.243365696,0.222653722,0.266019417
PGS004444,Total,0.275728155,0.254368932,0.299029126
PGS004513,Total,0.230420712,0.209077932,0.252410741
PGS004514,Total,0.241423948,0.219450363,0.262135922
PGS004595,Total,0.131391586,0.114563107,0.148220065
PGS004596,Total,0.121682848,0.105501618,0.137216828
PGS004696,Total,0.297734628,0.274433657,0.319093851
PGS004697,Total,0.315857605,0.293867576,0.339142133
PGS004698,Total,0.262783172,0.24012945,0.285436893
PGS004743,Total,0.243365696,0.221359223,0.266002974
PGS004744,Total,0.203883495,0.185113269,0.224579026
PGS004745,Total,0.23236246,0.211003236,0.255016181
PGS004746,Total,0.245954693,0.22394822,0.267297472
PGS000010,British_White,0.127538587,0.109687575,0.146222583
PGS000011,British_White,0.126726239,0.10885459,0.145410236
PGS000012,British_White,0.129163282,0.110479285,0.147847279
PGS000013,British_White,0.182778229,0.160844842,0.204711617
PGS000018,British_White,0.184402924,0.164094232,0.204711617
PGS000019,British_White,0.134849716,0.115353371,0.153533712
PGS000057,British_White,0.120227457,0.103168156,0.138890816
PGS000058,British_White,0.160844842,0.139723802,0.181965881
PGS000059,British_White,0.147847279,0.127538587,0.168155971
PGS000200,British_White,0.112916328,0.095857027,0.131600325
PGS000296,British_White,0.172217709,0.151117307,0.194151097
PGS000329,British_White,0.333874898,0.30790041,0.359870024
PGS000337,British_White,0.275385865,0.25184842,0.302172701
PGS000349,British_White,0.110479285,0.093419984,0.128330296
PGS000746,British_White,0.144597888,0.124289196,0.16490658
PGS000747,British_White,0.167343623,0.146222583,0.189277011
PGS000748,British_White,0.164094232,0.144597888,0.185215272
PGS000749,British_White,0.158407799,0.138911454,0.179528838
PGS000798,British_White,0.151096669,0.132412673,0.170593014
PGS000818,British_White,0.134849716,0.115353371,0.153533712
PGS000899,British_White,0.160844842,0.140536149,0.180341186
PGS000962,British_White,0.186839968,0.166531275,0.209585703
PGS001355,British_White,0.178716491,0.157595451,0.202274574
PGS001780,British_White,0.183590577,0.162490175,0.205523964
PGS001839,British_White,0.260763607,0.237205524,0.286758733
PGS002048,British_White,0.254264825,0.229915033,0.279447604
PGS002244,British_White,0.169780666,0.149471974,0.193318111
PGS002262,British_White,0.13322502,0.112916328,0.151909017
PGS002775,British_White,0.155158408,0.135662063,0.1754671
PGS002776,British_White,0.182778229,0.159220146,0.203899269
PGS002809,British_White,0.147847279,0.126726239,0.168135333
PGS003355,British_White,0.190901706,0.168176609,0.214459789
PGS003356,British_White,0.271324127,0.247786682,0.296506905
PGS003438,British_White,0.15434606,0.133245658,0.174654752
PGS003446,British_White,0.272136474,0.247766044,0.296506905
PGS003725,British_White,0.205523964,0.181174171,0.227457352
PGS003726,British_White,0.198212835,0.176279448,0.220937933
PGS003727,British_White,0.191714054,0.170593014,0.215272136
PGS003866,British_White,0.223395613,0.197400487,0.246953696
PGS004196,British_White,0.19983753,0.177091795,0.222583266
PGS004197,British_White,0.254264825,0.229082047,0.279447604
PGS004198,British_White,0.21770918,0.194151097,0.24207961
PGS004199,British_White,0.21039805,0.187652315,0.234747843
PGS004200,British_White,0.233956133,0.21039805,0.257514216
PGS004321,British_White,0.129163282,0.110479285,0.148659626
PGS004443,British_White,0.27376117,0.251036072,0.299756296
PGS004444,British_White,0.310316816,0.285967023,0.337936637
PGS004513,British_White,0.260763607,0.236393176,0.285134037
PGS004514,British_White,0.272136474,0.246953696,0.297319253
PGS004595,British_White,0.138911454,0.121039805,0.157595451
PGS004596,British_White,0.1226645,0.103188794,0.140536149
PGS004696,British_White,0.29488221,0.270511779,0.321689683
PGS004697,British_White,0.30869212,0.281092937,0.335499594
PGS004698,British_White,0.267262388,0.242100248,0.291632819
PGS004743,British_White,0.255889521,0.231539728,0.279447604
PGS004744,British_White,0.214459789,0.191714054,0.237997234
PGS004745,British_White,0.244516653,0.22095857,0.268887084
PGS004746,British_White,0.255889521,0.230706742,0.279426966
PGS000010,other,0.114649682,0.082802548,0.155970048
PGS000011,other,0.101910828,0.070063694,0.133757962
PGS000012,other,0.168789809,0.127388535,0.210191083
PGS000013,other,0.162420382,0.121019108,0.203821656
